id,name,dealDate,dealType,dealType2,dealSize,postValuation,dealSynopsis,dealStatus,dealFinancingStatus,dealBusinessStatus,primaryIndustryCode,verticals,description,hqLocation,companyWebsite,investor,company_id
11,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,Jafco,Blue Laser Fusion
12,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,Maezawa Fund,Blue Laser Fusion
13,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,SoftBank Group,Blue Laser Fusion
14,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,SPARX Group Company,Blue Laser Fusion
15,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,Waseda University Ventures,Blue Laser Fusion
16,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Alumni Ventures,Zero Gravity (Software Development Applications)
17,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Animoca Brands,Zero Gravity (Software Development Applications)
18,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Arca,Zero Gravity (Software Development Applications)
19,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Comfy Capital,Zero Gravity (Software Development Applications)
20,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Dispersion Capital,Zero Gravity (Software Development Applications)
21,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,DWF Labs,Zero Gravity (Software Development Applications)
22,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Eterna Capital,Zero Gravity (Software Development Applications)
23,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Foresight Ventures,Zero Gravity (Software Development Applications)
24,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,GSR,Zero Gravity (Software Development Applications)
25,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,gumi Cryptos Capital,Zero Gravity (Software Development Applications)
26,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Hack VC,Zero Gravity (Software Development Applications)
27,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Moonhill Capital,Zero Gravity (Software Development Applications)
28,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,NGC Ventures,Zero Gravity (Software Development Applications)
29,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,No Limit Holdings,Zero Gravity (Software Development Applications)
30,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,OKX Ventures,Zero Gravity (Software Development Applications)
31,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Orange DAO,Zero Gravity (Software Development Applications)
32,Zero Gravity (Software Development Applications),26-Mar-2024,Seed Round,Seed Round,35.00,,"The company raised $35 million of seed funding in a deal led by Hack VC on March 26, 2024. OKX Ventures, Animoca Brands, NGC Ventures, DWF Labs, Foresight Ventures, Dispersion Capital, Eterna Capital, Sanctor Capital, Alumni Ventures, GSR, Symbolic Capital, gumi Cryptos Capital, TRGC, No Limit Holdings, Moonhill Capital, WAGMI Ventures (New York), Orange DAO, Comfy Capital and Arca (Los Angeles) also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Software Development Applications,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Developer of a web3 modular infrastructure platform designed to build scalable, secure applications on verifiable, low-latency data feeds. The company's platform specializes in accessing real-time, trusted on-chain data to power Web3 applications through enterprise-grade data availability APIs for frictionless interoperability between chains while ensuring security, eliminating fragmentation, and maximizing connectivity, enabling users to store large inference traces and input data and run inference requests for better performance and cost savings.","San Francisco, CA",www.0g.ai,Sanctor Capital,Zero Gravity (Software Development Applications)
